State,GDP
Alabama,35819
Alaska,67825
Arizona,36336
Arkansas,33249
California,48453
Colorado,49163
Connecticut,62997
Delaware,58797
Dist of Columbia,164195
Florida,38364
Georgia,41212
Hawaii,47815
Idaho,32336
Illinois,49438
Indiana,40648
Iowa,45768
Kansas,45116
Kentucky,35229
Louisiana,44707
Maine,37622
Maryland,54981
Massachusetts,60728
Michigan,40458
Minnesota,50340
Mississippi,29045
Missouri,41059
Montana,34720
Nebraska,47558
Nevada,39743
New Hampshire,51986
New Jersey,53712
New Mexico,36741
New York,52481
North Carolina,38929
North Dakota,57084
Ohio,42444
Oklahoma,42896
Oregon,42609
Pennsylvania,46997
Rhode Island,44611
South Carolina,34396
South Dakota,43410
Tennessee,36789
Texas,50787
Utah,39804
Vermont,40462
Virginia,51722
Washington,53648
West Virginia,32840
Wisconsin,45437
Wyoming,69276