State,Total_Fatalities_2010,Total_Fatalities_2011,Total_Fatalities_Change,Total_Fatalities_% Change
Alabama,862,894,32,3.70%
Alaska,56,72,16,29.00%
Arizona,759,825,66,8.70%
Arkansas,571,549,-22,-3.90%
California,2720,2791,71,2.60%
Colorado,450,447,-3,-0.70%
Connecticut,320,220,-100,-31.00%
Delaware,101,99,-2,-2.00%
Dist of Columbia,24,27,3,13.00%
Florida,2444,2398,-46,-1.90%
Georgia,1247,1223,-24,-1.90%
Hawaii,113,100,-13,-12.00%
Idaho,209,167,-42,-20.00%
Illinois,927,918,-9,-1.00%
Indiana,754,750,-4,-0.50%
Iowa,390,360,-30,-7.70%
Kansas,431,386,-45,-10.00%
Kentucky,760,721,-39,-5.10%
Louisiana,721,675,-46,-6.40%
Maine,161,136,-25,-16.00%
Maryland,496,485,-11,-2.20%
Massachusetts,347,337,-10,-2.90%
Michigan,942,889,-53,-5.60%
Minnesota,411,368,-43,-10.00%
Mississippi,641,630,-11,-1.70%
Missouri,821,784,-37,-4.50%
Montana,189,209,20,11.00%
Nebraska,190,181,-9,-4.70%
Nevada,257,246,-11,-4.30%
New Hampshire,128,90,-38,-30.00%
New Jersey,556,627,71,13.00%
New Mexico,349,353,4,1.10%
New York,1201,1169,-32,-2.70%
North Carolina,1320,1227,-93,-7.00%
North Dakota,105,148,43,41.00%
Ohio,1080,1016,-64,-5.90%
Oklahoma,668,696,28,4.20%
Oregon,317,331,14,4.40%
Pennsylvania,1324,1286,-38,-2.90%
Rhode Island,67,66,-1,-1.50%
South Carolina,809,828,19,2.30%
South Dakota,140,111,-29,-21.00%
Tennessee,1032,946,-86,-8.30%
Texas,3023,3016,-7,-0.20%
Utah,253,240,-13,-5.10%
Vermont,71,55,-16,-23.00%
Virginia,740,764,24,3.20%
Washington,460,457,-3,-0.70%
West Virginia,315,337,22,7.00%
Wisconsin,572,582,10,1.70%
Wyoming,155,135,-20,-12.00%
Puerto Rico,340,359,19,5.60%